2011	III	Sep	 27.894    
2011	III	Oct	 28.215    
2011	III	Nov	 28.521    
2011	III	Dic	 28.669    
2012	III	Ene	 27.970    
2012	III	Feb	 27.904    
2012	III	Mar	 27.556    
2012	III	Abr	 28.273    
2012	III	May	 28.684    
2012	III	Jun	 28.905    
2012	III	Jul	 29.144    
2012	III	Ago	 29.178    
2012	III	Sep	 29.234    
2012	III	Oct	 29.707    
2012	III	Nov	 29.872    
2012	III	Dic	 29.843    
2013	III	Ene	 29.905    
2013	III	Feb	 29.809    
2013	III	Mar	 31.909    
2013	III	Abr	 31.628    
2013	III	May	 31.642    
2013	III	Jun	 31.913    
2013	III	Jul	 32.290    
2013	III	Ago	 32.309    
2013	III	Sep	 32.443    
2013	III	Oct	 33.139    
2013	III	Nov	 33.187    
2013	III	Dic	 33.112    
2014	III	Ene	 33.081    
2014	III	Feb	 32.538    
2014	III	Mar	 33.480    
2014	III	Abr	 33.738    
2014	III	May	 33.844    
2014	III	Jun	 34.437    
2014	III	Jul	 34.648    
2014	III	Ago	 34.939    
2014	III	Sep	 35.155    
2014	III	Oct	 35.592    
2014	III	Nov	 35.720    
2014	III	Dic	 35.807    
2015	III	Ene	 35.994    
2015	III	Feb	 35.816    
2015	III	Mar	 36.319    
2015	III	Abr	 34.578    
2015	III	May	 34.323    
2015	III	Jun	 34.607    
2009	IV	Ene	 40.423    
2009	IV	Feb	 40.993    
2009	IV	Mar	 41.997    
2009	IV	Abr	 42.292    
2009	IV	May	 44.861    
2009	IV	Jun	 45.803    
2009	IV	Jul	 46.301    
2009	IV	Ago	 48.341    
2009	IV	Sep	 49.377    
2009	IV	Oct	 50.074    
2009	IV	Nov	 50.905    
2009	IV	Dic	 51.319    
2010	IV	Ene	 52.048    
2010	IV	Feb	 52.527    
2010	IV	Mar	 53.254    
2010	IV	Abr	 54.344    
2010	IV	May	 55.486    
2010	IV	Jun	 54.667    
2010	IV	Jul	 55.686    
2010	IV	Ago	 56.421    
2010	IV	Sep	 56.833    
2010	IV	Oct	 55.571    
2010	IV	Nov	 56.076    
2010	IV	Dic	 56.002    
2011	IV	Ene	 56.390    
2011	IV	Feb	 56.502    
2011	IV	Mar	 57.328    
2011	IV	Abr	 58.127    
2011	IV	May	 58.760    
2011	IV	Jun	 59.102    
2011	IV	Jul	 59.909    
2011	IV	Ago	 60.861    
2011	IV	Sep	 61.404    
2011	IV	Oct	 61.748    
2011	IV	Nov	 62.169    
2011	IV	Dic	 61.949    
2012	IV	Ene	 62.319    
2012	IV	Feb	 61.916    
2012	IV	Mar	 61.929    
2012	IV	Abr	 63.052    
2012	IV	May	 64.010    
2012	IV	Jun	 63.626    
2012	IV	Jul	 64.272    
2012	IV	Ago	 65.791    
2012	IV	Sep	 65.864    
2012	IV	Oct	 66.162    
2012	IV	Nov	 66.568    
2012	IV	Dic	 66.757    
2013	IV	Ene	 67.070    
2013	IV	Feb	 67.285    
2013	IV	Mar	 69.931    
2013	IV	Abr	 69.491    
2013	IV	May	 70.190    
2013	IV	Jun	 69.640    
2013	IV	Jul	 70.246    
2013	IV	Ago	 69.696    
2013	IV	Sep	 70.316    
2013	IV	Oct	 71.192    
2013	IV	Nov	 71.508    
2013	IV	Dic	 71.917    
2014	IV	Ene	 72.196    
2014	IV	Feb	 71.291    
2014	IV	Mar	 73.837    
2014	IV	Abr	 74.824    
2014	IV	May	 75.094    
2014	IV	Jun	 76.343    
2014	IV	Jul	 77.172    
2014	IV	Ago	 78.142    
2014	IV	Sep	 78.845    
2014	IV	Oct	 79.778    
2014	IV	Nov	 80.267    
2014	IV	Dic	 80.641    
2015	IV	Ene	 81.483    
2015	IV	Feb	 81.360    
2015	IV	Mar	 83.210    
2015	IV	Abr	 84.692    
2015	IV	May	 85.676    
2015	IV	Jun	 85.771    
2009	V	Ene	 153.402    
2009	V	Feb	 153.959    
2009	V	Mar	 159.568    
2009	V	Abr	 165.025    
2009	V	May	 166.879    
2009	V	Jun	 168.805    
2009	V	Jul	 171.624    
2009	V	Ago	 175.283    
2009	V	Sep	 177.616    
2009	V	Oct	 179.643    
2009	V	Nov	 181.251    
2009	V	Dic	 182.479    
2010	V	Ene	 183.254    
2010	V	Feb	 183.905    
2010	V	Mar	 185.471    
2010	V	Abr	 188.881    
2010	V	May	 191.361    
2010	V	Jun	 192.013    
2010	V	Jul	 191.874    
2010	V	Ago	 196.028    
2010	V	Sep	 197.224    
2010	V	Oct	 197.658    
2010	V	Nov	 198.292    
2010	V	Dic	 198.345    
2011	V	Ene	 197.945    
2011	V	Feb	 198.287    
2011	V	Mar	 202.491    
2011	V	Abr	 204.828    
2011	V	May	 208.201    
2011	V	Jun	 210.437    
2011	V	Jul	 212.771    
2011	V	Ago	 214.296    
2011	V	Sep	 215.038    
2011	V	Oct	 215.919    
2011	V	Nov	 217.426    
2011	V	Dic	 218.273    
2012	V	Ene	 215.861    
2012	V	Feb	 217.097    
2012	V	Mar	 215.727    
2012	V	Abr	 221.741    
2012	V	May	 224.653    
2012	V	Jun	 225.639    
2012	V	Jul	 228.017    
2012	V	Ago	 232.322    
2012	V	Sep	 233.396    
2012	V	Oct	 235.974    
2012	V	Nov	 237.099    
2012	V	Dic	 236.123    
2013	V	Ene	 237.026    
2013	V	Feb	 237.382    
2013	V	Mar	 246.869    
2013	V	Abr	 246.243    
2013	V	May	 248.029    
2013	V	Jun	 249.429    
2013	V	Jul	 252.238    
2013	V	Ago	 252.426    
2013	V	Sep	 253.639    
2013	V	Oct	 256.233    
2013	V	Nov	 255.065    
2013	V	Dic	 254.056    
2014	V	Ene	 254.103    
2014	V	Feb	 252.288    
2014	V	Mar	 260.648    
2014	V	Abr	 262.842    
2014	V	May	 265.037    
2014	V	Jun	 269.390    
2014	V	Jul	 271.874    
2014	V	Ago	 274.392    
2014	V	Sep	 275.828    
2014	V	Oct	 277.822    
